# t_ms,rssi,name label=busy_30_240 window=30000 interval=240000
1960,-81,Badge2024lijn
6282,-83,Badge2024lijn
8418,-49,Tarpon 41b
9882,-44,Badge2024lijn
20398,-46,Badge2024lijn
23268,-49,Tarpon 41b
23973,-46,Badge2024lijn
27342,-47,Tarpon 41b
28062,-44,Badge2024lijn
31155,-49,Tarpon 41b
31875,-46,Badge2024lijn
35240,-47,Tarpon 41b
38830,-47,Tarpon 41b
39558,-44,Badge2024lijn
47223,-48,Tarpon 41b
50068,-44,Badge2024lijn
50847,-48,Tarpon 41b
58745,-49,Tarpon 41b
