# t_ms,rssi,name label=idle_30_240 window=30000 interval=240000
1460,-44,Badge2024lijn
1712,-82,Badge2024lijn
4108,-79,Tarpon 41b
5840,-83,Badge2024lijn
9124,-44,Badge2024lijn
11765,-49,Tarpon 41b
12960,-44,Badge2024lijn
15342,-49,Tarpon 41b
15611,-79,Tarpon 41b
16549,-44,Badge2024lijn
16805,-46,Badge2024lijn
19175,-48,Tarpon 41b
19432,-47,Tarpon 41b
20390,-46,Badge2024lijn
22762,-48,Tarpon 41b
23016,-46,Tarpon 41b
23274,-79,Tarpon 41b
24212,-44,Badge2024lijn
26601,-47,Tarpon 41b
26852,-49,Tarpon 41b
27788,-44,Badge2024lijn
28062,-44,Badge2024lijn
28294,-46,Badge2024lijn
30680,-81,Tarpon 41b
30904,-44,Badge2024lijn
30920,-46,Tarpon 41b
31155,-80,Tarpon 41b
31156,-46,Badge2024lijn
34735,-46,Badge2024lijn
34744,-49,Tarpon 41b
35241,-44,Badge2024lijn
38565,-44,Badge2024lijn
38600,-48,Tarpon 41b
38810,-44,Badge2024lijn
39101,-46,Badge2024lijn
42167,-49,Tarpon 41b
42417,-47,Tarpon 41b
42874,-44,Badge2024lijn
43125,-44,Badge2024lijn
46514,-48,Tarpon 41b
46709,-44,Badge2024lijn
50308,-47,Tarpon 41b
50530,-46,Badge2024lijn
51035,-44,Badge2024lijn
54366,-81,Badge2024lijn
54624,-44,Badge2024lijn
58193,-46,Tarpon 41b
58195,-44,Badge2024lijn
58458,-49,Tarpon 41b
58458,-46,Badge2024lijn
