# t_ms,rssi,name label=off_30_240 window=30000 interval=240000
59,-46,Tarpon 41b
310,-80,Tarpon 41b
563,-48,Tarpon 41b
2227,-44,Badge2024lijn
3903,-49,Tarpon 41b
4148,-48,Tarpon 41b
6048,-46,Badge2024lijn
6299,-44,Badge2024lijn
8208,-49,Tarpon 41b
8467,-49,Tarpon 41b
10375,-46,Badge2024lijn
10615,-80,Badge2024lijn
12285,-46,Tarpon 41b
14188,-44,Badge2024lijn
14457,-81,Badge2024lijn
16110,-49,Tarpon 41b
18032,-80,Badge2024lijn
19934,-49,Tarpon 41b
20207,-46,Tarpon 41b
21622,-44,Badge2024lijn
23520,-44,Badge2024lijn
23772,-44,Badge2024lijn
24021,-49,Tarpon 41b
27118,-44,Badge2024lijn
27349,-47,Tarpon 41b
27408,-44,Badge2024lijn
27602,-49,Tarpon 41b
27854,-49,Tarpon 41b
31182,-49,Tarpon 41b
31184,-46,Badge2024lijn
31446,-48,Tarpon 41b
31446,-44,Badge2024lijn
34784,-50,Tarpon 41b
35035,-48,Tarpon 41b
35262,-44,Badge2024lijn
38848,-47,Tarpon 41b
39099,-46,Badge2024lijn
39103,-49,Tarpon 41b
39345,-79,Badge2024lijn
42948,-44,Badge2024lijn
42949,-48,Tarpon 41b
43171,-46,Tarpon 41b
43171,-44,Badge2024lijn
46741,-44,Badge2024lijn
46749,-46,Tarpon 41b
46997,-46,Badge2024lijn
50574,-80,Badge2024lijn
50582,-49,Tarpon 41b
50837,-44,Badge2024lijn
52725,-46,Badge2024lijn
52995,-44,Badge2024lijn
55147,-49,Tarpon 41b
56801,-44,Badge2024lijn
57255,-79,Badge2024lijn
59192,-49,Tarpon 41b
59442,-48,Tarpon 41b
