# t_ms,rssi target=<all> walk=3
-3666,-82
-3159,-95
-1365,-92
-195,-96
-81,-92
435,-94
1970,-93
14963,-92
22372,-92
22618,-92
24140,-94
25415,-91
25415,-91
26440,-87
28215,-85
28480,-92
29210,-96
29756,-82
30011,-85
33828,-82
34338,-82
35362,-84
35886,-85
37878,-84
38132,-79
39665,-82
39924,-81
40182,-76
40874,-96
43269,-81
44737,-79
47114,-57
48131,-57
48641,-53
50931,-58
52203,-52
52962,-51
53983,-52
54244,-56
54496,-59
54750,-52
56033,-60
57813,-58
58063,-59
61626,-62
61872,-57
62388,-61
63913,-59
64424,-81
65445,-58
65964,-62
67729,-61
68241,-57
69766,-57
71299,-61
71803,-57
75374,-57
75880,-57
77656,-57
79184,-82
79438,-81
79690,-70
81213,-76
83754,-80
85018,-92
85534,-88
87051,-90
87566,-96
90640,-91
91160,-85
92180,-93
94719,-93
97809,-92
98316,-88
101621,-92
107229,-92
109785,-87
111600,-88
111600,-88
112847,-87
116934,-96
117183,-93
118711,-83
120752,-89
122298,-91
123822,-86
124326,-90
124582,-85
125852,-86
126105,-83
126360,-86
126810,-94
127898,-79
128409,-94
130189,-77
131140,-94
131214,-83
131721,-85
131976,-80
133257,-85
133768,-73
135034,-73
135292,-80
135549,-69
135819,-81
137322,-62
137832,-60
138859,-67
139116,-64
139370,-69
140911,-75
141410,-80
141659,-78
141962,-96
142678,-84
143954,-89
143954,-88
144032,-92
144716,-93
144966,-80
145215,-89
146740,-90
148784,-93
149074,-89
150558,-93
153436,-94
155128,-91
156909,-85
157595,-89
162254,-97
163961,-91
164552,-92
164788,-95
165520,-93
